,tweet_preprocessing
596,hai kak shudel maaf ya 
597,kelakuanku jaman n nhayooo inget 
598,klik 
599,maaf banget nih kak bikin ngga nyama 
600,ayo buka bukalapak bayar pajak kendar 
601,tampil menawan d 
602,kak maaf ya nyaman bella ba 
603,kebutuhan pokok rumah gak terpenu 
604,skip bayar pajak kendaraan 
605,hai kak senang hati bella bantu 
606,gak beb 
607,yuk berburu bukalapak ramad 
608,pilih teflon minyak goreng gaesss duanya 
609,hai kak mohon maaf kendalanya bell 
610,senin teka teki miliaran hadir 
611,kak mohon maaf kendalanya ya bella inf 
612,ikutan rejeki asik bukalapak kesempata 
613,nih ciwi ciwi udah gajian n nkita k 
614,semangat guyys pandemi tet 
615,ramadan promo nih bayarnya p 
616,kak mohon maaf kakak transaksi hubung 
617,ketipu untung keburu curiga ikutin petunjuk pelapak teru 
618,gk ketipu org paham yg jgn share data otp liat we 
619,bukalapak bawel banget 
620,hai kak mohon maaf ketidaknyamanannya ya informasikan bella alamat email no 
621,btw bukalapak kabar sih 
622,min udah gak fitur batalkan pesanan ya pesanan udah gak kirim pelapak proses 
623,hai kak maaf banget ya kendalanya yuk lampirkan screenshot kendalanya dm bella bantu cek ya kak 
624,males bukalapak kayaknya seller merasakan yg 
625,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khususâ 
626,yukk rb aja bukalapak ready biar enak
627,rt tgl juni ngeh bayar pajak motor cobain perpanjang online via app samolnas bayar bukalapak hariâ 
628,males bukalapak kayaknya seller merasakan yg samaâ 
629,kak mohon maaf kendalanya ya kak bela bantu kak pemeriksaannya namâ 
630,min udah gak fitur batalkan pesanan ya pesanan udah gak kirim pelapak proses ðÿ 
631,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
632,fix gua gabut malem dengerin lagu iklan bukalapak
633,bukalapak emang cincay
634,sertifikat prakerja tertahan bukalapak cc
635,buka usaha min 
636,hai kak maaf banget nggak nyaman ya kak yuk lampirkan bukti pembayaran dm agarâ 
637,hi admin no tagihan blizxxehinv bayar sy disuruh nunggu verifikasi batas baâ 
638,min membatalkan transaksi merubah kurir susah ya
639,bukalapak menu investasi emas layanan nabung emas batangan
640,harga amazon usd sampe usd shipping bea cukai dijual juta
641,hai kak mohon maaf kendalanya ya keamanan data kakak pindah dm yuk kak infoin alamat eâ 
642,dorong industri game bukalapak hadirkan program turnamen asik
643,jadiii bukalapak nikmatin cashback berlangganan streaming film favorit top up gameâ 
644,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll
645,pas banget doyan aktivitas media digital streaming film sampe nge game kitaâ 
646,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
647,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
648,rt perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program turnamenâ 
649,smartphone versi terbaru tunggu tunggu udah pasaran yuk beli aja pakâ 
650,perusahaan teknologi indonesia bukalapak menghadirkan maingame dot com aplikasinya program tâ 
651,gamenang beli mmm gatau sih msti prcya enggaðÿ bantuin bukalapak sanaâ 
652,kak maaf banget kendalanya bella cek kendala kakak bella bantu sampaikanâ 
653,tersedia jg bukalapak shopee toped amp wa bro
654,saksikan live streaming leadership talks strategi perjuangan perusahaan era pandemic sebentâ 
655,pembeli gk dihubungi aja transaksi laporkan viralkan
656,kak maaf banget ya udah bikin kakak gak nyaman silakan kakak kesepakatan terlebihâ 
657,memiliki bukti perbaikan pasien signifikanâ 
658,jual bukalapak carousel deh cepet lakunya
659,netijen please do your magic bantu jualan gue bukalapak yuk belinya 
660,proses semoga bertahan dgn membatalkan transaksi yg sdh diproâ 
661,kak maaf ya udah bikin kakak gak nyaman bella cek transaksi kakak dibaâ 
662,gak ngebadut ya syopii sampe gua pindah haluan bukalapak 
663,marketplace konyol yg
664,pelapak dirugikan cancel orderan persetujuan pelaâ 
665,mudah sahabat pilih program program rumah zakat langsung bukalapak
666,order pomade langsung gt gt gt bukalapak
667,salah kode unik udh nungfu disuruh nungfu brpa woy 
668,lhoo ga ngecek bukalapak skrg ui nya dah rapi yaaa
669,mohon maaf ya kak udah bikin gak nyaman bella cek kendala kakak nomor pelaporan â 
670,kelanjutan dana sayaa btuh uang bayar angsuranâ 
671,grgr lupa kode unik kah mas jg gitu tpi duit gabalik smoe skrg udh keâ 
672,kelanjutan dana sayaa btuh uang bayar angsuranâ 
673,kelanjutan dana sayaa btuh uang bayar angsâ 
674,kelanjutan dana sayaa btuh uang bayar angsuraâ 
675,kelanjutan dana sayaa btuh uang bayar angsuran yaallah tâ 
676,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
677,cek perlengkapan butuhkan harganya terbaik 
678,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
679,kak penarikan dana kerekning bca status pending ya 
680,penggemar setia bukalapak terima kasih user experience yaâ 
681,tidakperlu dm balasan aja kayak robot buarkan mreka tau gmn bukalapak atâ 
682,ngasih tau nih belanja metode pembayaran dana dapetin diskon ongkos kirim s dâ 
683,basi jawabanmu gaada kejelasan gaada penyelesaian
684,maaf ketidaknyamanannya ya kak perihal kendala bella bantu konfirmasi dm yaâ 
685,upgrade hp menyelesaikan aktivitas online gitu yu beli bundlingâ 
686,order pomade langsung gt gt gt bukalapak
687,pastikan kali trakhir makai pilihan topuo aktivitas sehari tiâ 
688,admin twiiter gak tiao ni tiket berubah tpi admin ig live chat tto sm noâ 
689,profesional berhati kawan lupa kode unik tâ 
690,belanja bukalapak bayarnya pakai coba vote ðÿ 
691,jual alat rapid test harga ekonomis beli eceran rp pesan via bukalapak klik â 
692,gw bgt tim ui ux nya shopee bukalapak
693,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rpâ 
694,investasi emas
695,hai kak maaf ketidaknyamanannya ya kakak dm bella ya kak infoin detail kendala kak bdp
696,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
697,rt gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlaku khususâ 
698,gila potongan super seller cuy pantesan platform sepi super seller nggak aja â 
699,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
700,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
701,tolong voucher diterbitkan aja udah ampir sebulan gak hasil
702,tolong voucher diterbitkan aja udah ampir sebulan gak hasil
703,oke kak lupa jaga kesehatan ya kendala bukalapak silakaâ 
704,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
705,cek produk new update gt gt gt bukalapak gt gt 
706,cek perlengkapan butuhkan harganya terbaik 
707,bukalapak chino k jaket jeans k kemeja denim k dll gt pin fce hp lt 
708,bukalapak promo moms
709,iya nih bukalapak sepi sepi aja
710,rt buku das kapital ribu bukalapak udah buku 
711,rt ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtual bukaâ 
712,buku das kapital ribu bukalapak udah buku 
713,biar belanja nyaman yuk top up bni tapcash bukalapak dapatkan cashbacknya cuss yuâ 
714,yuk langsung aja kepoin marketplace gopayless tersedia tokopedia bukalapak shopee blibli 
715,bukalapak cincau harga santai kagak lebay dinego aje sayy sayy 
716,hai kak maaf banget ya udah bikin kakak gak nyaman terkait kendala kakak nomor transaksi xxâ 
717,bukalapak ðÿ emang ðÿ cincai ðÿ harga ðÿ santai ðÿ ž kagak âœ ï lebay ðÿ dinego ðÿ aje ðÿ say ðÿ ðÿ ðÿ sayâ 
718,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
719,mohon bantuannya sy pesan barang pelapak stuff station id transaksi â tgl pelaâ 
720,buka dm min ga respon kek doi 
721,shopee tokopedia bukalapak lazada bintang iklan konsep iklan nya mahal mahal bangsat
722,hai kak kendala bella konfirmasi dm ya kak yuk cek dm kak nt
723,aplikasi gak kmren ni tiket brubah kali dm brubah cs aplikasiâ 
724,hai kak maaf banget nggak nyaman ya kak perihal kendala bella konfirmasi melalâ 
725,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
726,nabung emas aja udah 
727,netijen please do your magic bantu jualan gue bukalapak yuk belinya 
728,hai kak kendala bella konfirmasi dm ya kak yuk pindak dm kak nt
729,beli reksadana emas bukalapak
730,lanjutan mksdnya gimana woy bener no tiket laporan sy yg skrng hdeh jancok gaj jelasâ 
731,investasi reksadana emas bukalapak ayo bantu 
732,dapet gratisan bl ya ðÿ ðÿ 
733,gimana nih bales dm nya kak
734,ww ya nih berkesempatan menangin total hadiah jt gampang banget top up produk virtuaâ 
735,hai kak maaf kendalanya ya yuk dm bella infoin detail kendala ya kak bdp
736,invest emas bukalapak rupiah
737,maaf kendala ya kak mohon infoin bella via dm nomor transaksinya bukti resi fisik daâ 
738,order pomade langsung gt gt gt bukalapak
739,hai kak maaf kendala ya mohon infokan bella detail terkait kendala ya infâ 
740,biar belanja hemat lupa pake voucher bank mandiri nih lumayan banget voucher ongkir rpâ 
741,cek perlengkapan butuhkan harganya terbaik 
742,salam mohon dibantu no transaksi dana dr transaksi masuk dompet bl sy krn pktâ 
743,hai kak maaf banget kendala ya mohon diinfokan bella nomor transaksi alamat eâ 
744,hai kak maaf kendalanya ya bella diinfokan detail kendala dm ya kak mohon diâ 
745,hai kak mohon maaf kendala dialami terkait kendala kakak diinfokan bella dm ya kak ar
746,beli buka mas rb masuk saldo tinggal sisanya kemana
747,hi selamat terpilih pemenang kuis cek dm ya 
748,ngasih emas nih ambil hadiah emasnya 
749,hallo membeli pelatihan prakerja bukalapak menyelesaikan pelatihan skill aâ 
750,kejadian shopee bukalapak balikin akunku
751,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
752,malam min knp ga login ya padhal udah bener sms kode bener gagalâ 
753,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
754,kak maaf kendalanya ya kak bella bantu kendala kakak inbox ya kak silakan kakakâ 
755,mega app ma mitra bukalapak tu logonya kalo notif suka binun
756,hai kak maaf banget ya kendalanya terkait kendala yuk infoin bella alamat email nâ 
757,kak bukalapak eror ya otp sms gak masukâ² pagi
758,hai kak maaf kendala alami ya kak bella bantu cek ya yuk infoin alamatâ 
759,reksadana mudah transaksi beli amp jualnya harganya terjangkau sesuai budget pilihan portfoâ 
760,halo kak bukalapak kak iklan tv sampe ketinggalan liat iklannya kak ðÿ an
761,kubah masjid enamel amp stainless harga murah dipesan
762,udah ga iklan tv si min ga ikutan ky yg 
763,cek perlengkapan butuhkan harganya terbaik 
764,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
765,memiliki bukti perbaikan pasien signifikanâ 
766,halo min register buka lapak ga otp nomor hp ya 
767,hai kak maaf banget nih kendalanya keterbatasan karakter yuk pindah dm kak biar ngobrolnya lâ 
768,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
769,nomor transaksi nomor resi paket kirimâ 
770,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
771,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll
772,maaf banget ya bikin ngga nyaman terkait mohon informasikan nomor telepon alamat eâ 
773,user bukalapak cek favorit 
774,fitur jual barang varian pilihan dâ 
775,barang blm nyampe nih kak
776,tolong klo refund dikembalikan sesuai yg semestinya refund pulsa serbu honda beat sesuaiâ 
777,bukalapak chino k jaket jeans k kemeja denim k dll gt pin fce hp lt 
778,gx bukalapak ja 
779,maybe bund bukalapak
780,berjualan online bukalapak versi mobile android desktop
781,anjim twitter gua kaya bukalapak
782,saldo gaditerusin buka dompet penjual disetujui merubah resi otomatis manual rugi penjuaâ 
783,asli sisten jualan bl bobrok barang dikirim pake resi manual disetujui bl minâ 
784,cek perlengkapan butuhkan harganya terbaik 
785,biarcepet laku spefikasi dm aj harga free ongkir rekber tokped bukalapak
786,halo min dpt sms notifikasi ganti no telf akun bl dapet email ya 
787,berguru
788,woi gimana tanggung udah loh saldo emoney rb ga masuk parah banget sih lamaâ 
789,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
790,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
791,for sale like new pengiriman tangsel transaksi bukalapak shopee by request nego tp jâ 
792,yakiiin lho jam malem ðÿ 
793,ðÿ ðÿ enyah lo jgn promosi bukalapak
794,suka ngulik ngulik aplikasi keuangan pakai buka reksa aplikasi bukalapak bareksa terâ 
795,buibuuuukk jam udah tau ngapain nih coba reply twit ngapainðÿ 
796,hai kak senang hati bella informasikan mengaktifkan kurir lapak lâ 
797,bukalapak anak bangsa minimal lu hargain bos 
798,stok kuota streaming film weekend oiya registrasi kartuhalâ 
799,no need buang say no to bukalapak
800,kesulitan pengiriman barang jual berat mohon bantuannya sayaâ 
801,hallo kak maaf nih saldo pulsa kakak masuk pindah dm yuk kak ngobrolnya biar enak aâ 
802,gimana ya min transfer selisihnya 
803,hi kak maaf ketidaknyamanannya ya kak bella infokan proses jual instan mengikuti taâ 
804,saldo pulsa nya blm masuk
805,movie marathon libur layanan halo kick gold berisi kuota internet gb mâ 
806,min tny ttg bukareksa jual instan kalo jual nab lbh ditransfer sâ 
807,hai kak maaf banget nggak nyaman ya kak yuk infoin detail kendala dm dapâ 
808,buang berhari ternayata bukalapak melindungi pelangan berpihak pelapakâ 
809,rt bikin ginian domain available langsung dibeli ga tau apâ 
810,rt bikin ginian domain available langsung dibeli ga tau apâ 
811,berjualan online bukalapak versi mobile android desktop
812,hai kak mohon maaf yuk pindah dm infokan kendala detail beserta email danâ 
813,tolong dibantu penjualan no pesanan diterima pembeli pembeliâ 
814,waah sih milih investasi emas yah emas harganya cenderung stabil â 
815,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
816,rupiah mhank 
817,hai kak kakak mengalami kendala terkait mitra bukalapak menghubungi cs mitra bukalapak liâ 
818,siang kak maaf kendala sertifikatnya nih bikin nunggu ðÿ bella cek kendalanâ 
819,hai kak maaf ketidaknyamanannya yuk pindah dm informasikan kendala email nomoâ 
820,daftarnya selesai tinggal nunggu info amp mengikuti trainingnya
821,min bukalapak lemot yaa aplikasinya nya
822,mantap bln kelas blm slesai gimana beli eummmm
823,peserta kartu prakerja gelombang lupa ya beli pelatihan pertamanya batas akâ 
824,nnti yg bukalapak ngitung harganya bingung
825,pengawal perusahaan gojek bukalapak menggerakkanâ 
826,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
827,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
828,mengajakmu bergabung bukalapak memberikanmu credits rp cek 
829,udah gak belanja bl toko gak verified trus promo nya gak hijau pâ 
830,hoyong diajar atuh ðÿ 
831,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
832,ketawain kasian 
833,emang yg belanja bl 
834,investasi emas menurutku resikonya rendah emas mahal selainâ 
835,gimana ðÿ 
836,hei bos rubah orderan buyer sy resi otomatis sicepat manual jne acc bl sâ 
837,jasa topup dompet digital
838,jualan apaa nder tips 
839,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
840,reksadana suka berinvestasi
841,rt ganti smartphone kapasitas battery terbesar indonesia kuy ikutan xtreme flash sale samsung officiaâ 
842,min bsa bantu alamat kantor sicepat d lhokseumawe aceh 
843,hub transit tuh maksudnya gimana gak jalan jalan kemarin tgl merah libur 
844,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
845,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
846,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
847,jual kejutan kejutan francine pascal rp pesan via bukalapak klik â 
848,shopee k vision bukalapak kvision
849,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
850,karna no ribet dijadiin tabungan
851,cek produk new update gt gt gt bukalapak gt gt 
852,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
853,hallah typo pelawak maksudnya pelapak ðÿ 
854,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
855,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
856,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
857,kak maaf ketidaknyamanannya ya terkait transaksi mohon menunggu pelapâ 
858,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
859,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
860,shopee lazada tokped bukalapak gaaa
861,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
862,kalo suka investasi reksadana sebenernya kalo uang investasi emas ga maâ 
863,kalo link shoopie tokped bukalapak dicantumkan yg beli gak ragu seller yg nipu ðÿ ðÿ 
864,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
865,semenjak pandemi market karuan alias crash kesempatanku konsisten nabung reksâ 
866,minisite blogger responsiv untul bisnis reseller tokopedia bukalapak dll
867,cek perlengkapan butuhkan harganya terbaik 
868,gratisan pake kode ongkirgratis pas belanja bukalapak biar ongkir gratis maks rprb berlakuâ 
869,hai kak maaf ya kendala kuyy bella bantu kak infoin nomor telepon email akun bukalapak kamâ 
870,alhamadulillah nya saia koneksi intern d bukalapak yayyyyy
871,rt dipilih pemenang beruntung acak kasih saldo reksadana emas rp ribu 
872,investasi reksadana mudah risiko kerugiannya suka investasi reksadana awalâ 
873,kak kendala bukalapak tinggal colek mimin bella ya ðÿ jbt
874,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
875,kak ya kendala bukalapak hubungi bella ðÿ jbt
876,tampilan e com yg bikin pusing bukalapak zilingoooo ampun pusing bener cari barang
877,notif bukalapak ngeri sehari puluhan kali
878,mbok kiro gojek toped bukalapak iku duduk garapane milenial a
879,transaksi okt clear no resinya resi sms tsb 
880,permisi share ready stock tokyobike cari city bike kids bike more coming soon terima kasihâ 
881,hai kak maaf nyaman ya kak terkait pemberitahuan aplikasi bukalapak kamuâ 
882,kak mohon maaf kakak transaksi hubungâ 
883,yg sms bukalapak 
884,terimakasih infonyaðÿ ðÿ 
885,ketipu untung keburu curiga ikutin petunjuk pelapak teruâ 
886,rt twitter please do your magic gue tau akun gue tolong retweet tau yg ketipu â 
